Week of Date,Block Number
Week of 2025-02-10,933558
Week of 2025-02-17,1232857
Week of 2025-02-24,1524007
Week of 2025-03-03,1825789
Week of 2025-03-10,2131605
Week of 2025-03-17,2437975
Week of 2025-03-24,2747201
Week of 2025-03-31,3055441
Week of 2025-04-07,3364579
Week of 2025-04-14,3669620
Week of 2025-04-21,3975351
Week of 2025-04-28,4281839
Week of 2025-05-05,4585148
Week of 2025-05-12,4889138
Week of 2025-05-19,5197840
Week of 2025-05-26,5506581
Week of 2025-06-02,5813826
Week of 2025-06-09,6125634
Week of 2025-06-16,6439435
Week of 2025-06-23,6753985
