name,pubkeys,operatorAddress
"Frequency",0xa1147c6c5938ba7f34423f9dd473bf7b1bb8836ed47ed3ff258146c94d6f10aed73cba3b4668adbe32ca0b53a99034f3,0xd6203b0F558b01A678745a6085F6Ae6332393d04
"Infrared by StakeLab",0x88be126bfda4eee190e6c01a224272ed706424851e203791c7279aeecb6b503059901db35b1821f1efe4e6b445f5cc9f,0xb71b3DaEA39012Fb0f2B14D2a9C86da9292fC126
"",0x84d0f5ed328e029f104f7a3bb5778d188b2197415119b95a9719be47fd0e16e3fbda08dbf5bdfde0a7dab95db1807e47,0xb71b3DaEA39012Fb0f2B14D2a9C86da9292fC126
"The Empty Jar",0xb77084d2b92baa3e01ec5ce57fbd529d3c8e60941c637bdc7c85d9ca2cc56545c3cbea86879dcbe9402f8a55d0284e7b,0xD2c35c5eF5E989811723F160ED396f10e0696D66
"Infrared by RockawayX",0x8ccaba10bddc33a4f8d2acdd78593879a84c7466f641f1d9b4238b20ee2d0706894b3e55b0744098c50b9b4821da3207,0xb71b3DaEA39012Fb0f2B14D2a9C86da9292fC126
"Infrared by Luganodes",0x928d6f66bfd9cb1ef18da6843ad9db6c1b6ec7e3093705c95224e8f20232f243e7a627d09144360d4c1775d8fafdb0e7,0xb71b3DaEA39012Fb0f2B14D2a9C86da9292fC126
"",0x81cca2094f01fcc54f1e91b9d03067186f1f5a6d1826f1f7d8a877e38b51e365010a140c8ba59f7fa9edd79a7730d4a4,0xea01B36A33633185EA585739E8DeBAF601A8834B
"",0x8adbcb0d99ead56a1a6b4def62a25f673a10e85238de77c74168d5e6ec1d8f3aa445a22be812130377857a585eefb2be,0x425F1EdD3D2A3b1097E23910be85563594D4EF77
"[LEGACY] Smilee Finance",0x84acfd38a13af12add8d82e1ef0842c4dfc1e4175fae5b8ab73770f9050cbf673cafdbf6d8ab679fe9ea13208f50b485,0x3F7755117f1FEC1981aEfB01887240DBF5F2eBcE
"Falcon Nest",0x83199315cf36ebcf6a50bab572800d79324835fae832a3da9238f399c39feceb62de41339eab4cc8f79a6d4e6bcb825c,0xACb838c14015DC3671712b18503c8E824f9C7A96
"The Honey Jar",0xa0c673180d97213c1c35fe3bf4e684dd3534baab235a106d1f71b9c8a37e4d37a056d47546964fd075501dff7f76aeaf,0x73e34207C4d35e6c7Bf7D23B8ADD6975aa8049B7
"Kodiak",0x8e3b35bd379652019fe8f341c5c854a60f55772016340781e8d3577e2b24e1ac0d5786d45459cd756810281eff8f729c,0x08836AaBe6b7109A8660F146CC196Db8638df938
"",0xafd0ad061f698eae0d483098948e26e254f4b7089244bda897895257c668196ffd5e2ddf458fdf8bcea295b7d47a5b37,0xbcf2d3673De2f081170e0799c7E6d9B740Bb753F
"",0xa15875a9e554e446e5fcd463245f4d7bd6863b1a5f51d33ac828d06f9185c5705f1d0a442b52df142ee74f300a01551f,0x68a04dBAc577D1a9E8442fd368C50D65d304Ab17
"1XP | nambera.com",0x97266c94c490662479a9188b070c86e505df4f167016883af4114c8c1a71429e8f270c0c2f1b74375880f81828b768c0,0xFD407BFe9004692e66E91D0067f06829E98285e1
"",0xb38e22a9df8a095a3554c1a7deabb9e09faddbb6a801c7d3efe9d61f33f9f1a2e80a1ca8b90908b22e4e4b7a61715005,0xEedA3951450A070BBB4Ba93d9387b6dE57fF7E84
"P2P.org",0x892e8d2225cebeed25e54a59f4167610704fc507170a7b6532584ffa7f66c1dda20c83a2f148fb5f7ec614f340edba60,0xC8e2bF1D7BDa663123B409b986F3886470602A8d
"Beradrome X ApDAO",0x89cbd542c737cca4bc33f1ea5084a857a7620042fe37fd326ecf5aeb61f2ce096043cd0ed57ba44693cf606978b566ba,0x2677A37cf5E882C6e368B747A28a458C5d962ea0
"",0xa6495d3c02b192163a68cd2921cfeef84aee2018bfdb49fdd0063d28f7ad07f517f4326d1cd515f489a66b0571525947,0xdB3366Ba2c6774a7e727597347903082CB4be0c4
"Infrared by A41",0x90d64ab2a8ab9b5faace9225d205d47dc0b8155592b354b860134928f7f39f15f54d909dad7897868aba6dc7e7eef6c8,0xb71b3DaEA39012Fb0f2B14D2a9C86da9292fC126
"Infrared by CoinSummer Labs",0x998adf736d60eecdfd3ab5136a779aa23235c44bb6de08def2069f73e946de963b35a68d5a66d611d3a7cd45035dca8f,0xb71b3DaEA39012Fb0f2B14D2a9C86da9292fC126
"",0xb501507f67728ec7b09296bf87f4ad133af8f7afc00924727a09b1dedc17c9a868c36d909cff68730c1da66dcfc1e862,0x8a6cA64D468A27e5AA9b190749f270eCBd0891Ec
"P-OPS Team",0x89233d54cc54e67cbab9493af37bcbedaa9def92c14637694bf88f675b2ccd0a6c98a8dde009d6d80f515f11a8845517,0xA7Ac3755c744e853C951c351850a0987148bDAed
"InfStones",0xb1580b412431ff7a1cca16045f0996740a5e52ebd1aeff6359415d99886b89a3506b36bd71af132a5dcb989e7a89b58d,0xa253e301E63A23E25A5605907b80E2807c043ECf
"Infrared by Nodeinfra",0xaddc88b5a74211b80ed2b8c5169b85380b7428a8b0a3381a4470d52203eb230f136b423370308783082866f716b06651,0xb71b3DaEA39012Fb0f2B14D2a9C86da9292fC126
"ChorusOne",0xab98ea73f3afab04154829f8d12a537cbf31a8b08f7f8e3870f4902001f0011234ed8f9218b40b4ed732d11d889f609d,0xF2048c29ef806ed003dEE1ae703F00ef7340AC84
"SNZPool",0x96652bba2f2f3b6b4fcfdfe9847f6a5604965d0ebac37c1f0c3774da0866140ab69734feec0eb0761f8e08d809c9e12b,0x7905E5D80722702b7C1816b3c38b6A893ED809bD
"",0xb0649b1bcae19712e9144e729aae2e3f38aed93d714e8eaac17be5204f2f5a9fefbd58820fa1441fe9bce268d724b3ec,0x60302B89D78831382a9e105b96Fd24F1b7066f98
"DeFimans Co., Ltd",0xb47bc1b35cd4c66f563f3f36285ab49747dde1469cf9972e21da45677aabde4c20d55a24bf7faa6791511a5ba3c8d415,0x950D5302FDB0F073A6f2DccFFa5acB753e2De739
"Infrared by DeSpread",0xab2f79eeae163596276d5a56e52be4796df33377b157531a839a0174a68ca36e245bee122c4b5364176cf25ec2e0e8fc,0xb71b3DaEA39012Fb0f2B14D2a9C86da9292fC126
"",0x889db08ace4751745c8f46814ae7e953333eb9955e27410235afbb0f7572a8389838a42770464b8db38e1d40777ac4d5,0x5a0Fc6D68caD145619751ea24C2d44C5749b9Ac6
"Ancient Mibera",0xb6380cbd103b20dbde1a47df1d1cc299f01dda8966e10a395e4430ba2871f719529ea5cd9ffa9d48625b0d96dd77fb50,0x18c9326C549ADB90Cc32e12BaA781C94719986fb
"Berabaddies",0xb82a791d7c3d72efa6759e0250785346266d6c70ed881424ec63ad4d060904983bc57903fa133a9bc00c2d6f9b12964d,0xd47ac90B1EFA20E11448ff4F47B1713ff2356e95
"UFN",0x89543c3e50251ae355835484faf7cb38dacfca943b97fef9c9ee1e47248258a7198da417bf8fc6771fa7ef16a8adec0f,0xb5335225a53e1575c3f9c3e45F616E7899590E72
"CoinSummer",0xa7f3186065f3f18a4b21b661f40941b942dad39062d9df399d94a18870e0600f1ccab51ee71ca5d6f971b79c2e51d6de,0x189A95fa7c0316EE7D21ac76E9E93452d7B40046
"",0xad7b9606441923d81d9f6350259133bef3990ee663f88501fe0e7488b3e863b8eb1b24b88a1e15420175b9eb06b1720c,0x34F85CA372b5805570e180f4c7cf3DA4c75213a8
"",0xaa6632a2b6817e311ec60b732c5a627056dadf30728bade3a0ef4a86d314ad4f6b2343039e20e59df7fc4771f017af7d,0x7312d8F98b45eB625d8BD99Fd8b7a1f0ac4b87F1
"",0xafe180dc2fd98270c34bc4d5496dd3e6a1caf02aa5a03ea1da55277f11c84b4cdfa81c1adfa852b7f27f9448959c483f,0x92C094B1C971286513035F395AEd8cEfE35cD379
"",0x82ba04ebb0d7544e0a1737873d6f161b3292732735a2b224c3a7de6eff0a82631dd80b50c59991f43bc2a3a4032bc34d,0x38d123E5c017A163B3AABdA8BCd82aa2835bb986
"StakeLab",0x98111a6ee569f1be005551d8c76e042aabcb5bf4c491d177445a2b5fb30dedc7bf6db39e387831c6739bde4129c6ada5,0x6aa0757bc4ffdC9f0DEB5E9fA08173c07EF2afCc
"Asymmetric Research",0xa14fa37a1d4c65326bf091d3bb0e5607fde8946471ed923e6815077fac7282d89820dd4f8765e4085ca8247fb99ecb6b,0x3e4aBD8d931AB73f14cdeeaD41ccD4b82217593c
"GhostGraph",0x80305831f81c688a6814ebf9d9b842e28a20b425864c480fab6f52e41541853eab39e77ca68248d096bd4d5499b24b7e,0xc8eF7AccF806Cc6857cAc2262fc3Aec3832645c2
"Simply Staking",0x8148ddb478a291cf6a16fb98195e3076aad319ca8821b4aef69c8d1d45c8ed49d61109a1cbc029b58f22f5bb60854fe4,0x03daa833f0994D877a52d3841975c685D131Ec7C
"StakeUs",0xa232a81b5e834b817db01d85ee13e36552b48413626287de511b6c89b7b8ff4a448e865713fd21c98f1467a58fe6efe5,0xC047c59b4f8b5Ad1Ce755b3b36e6E5CbA9B3d781
"Stakecito",0xa247c21f73c3327f31f8ee0dbb40110ef0a830af89b83986dddf92d1bd1a68b88f9050bc6a0f1405cb75fbb457e3e83b,0xA38092223392Bb225d0D81BAb2527daDF02Affde
"BGTScan",0x832153bf3e09b9cab14414425a0ebaeb889e21d20872ebb990ed9a6102d7dc7f3017d4689f931a8e96d918bdeb184e1b,0x3e8c50054c1854495f5873FcbA10c6ea91D5085a
"L0vd",0xa3539ca28e0fd74d2a3c4c552740be77d6914cad2d8ec16583492cc57e8cfa358c62e31cc9106b1700cc169962855a6f,0x509B8Fb5e3964D3c71802fa6eB4deE4feccEadd1
"B-Harvest",0xa3ae000f40c06c1af1c40d713370a5fbf2cc28fdd6a03b36b751a1eb28a5699eea469d7b337981081facc738c326091d,0x143038266F4c508237dab73723aDC79E6081D85F
"NodesGuru",0xa6194b4dc5f7c8bd00666cbe1a9490eae3306ff397c4d198395dd938100fc3828e2d072a1bf6f256299f9cdb8d2b42f0,0x42596dE5946D620168300cD61B09DceD422CAEf7
"DeSpread",0x865a04fc3fb234b69595fc464b00604e8e1f387d47dc6bca2d1503a82d2e20060334ef275c764136f13b87447bd3d0a8,0x054aaCF7eA50C873e4A43582E25C48Ab028274FF
"Coinage x DAIC",0xa769858cabcbe2fa239997e676e378f2037a679a1cf674679c40e410ffa9e72921781c24af7cc79969361559e88615de,0xacC73a3C87B28331Bb99ada08b10B8def4a41347
"TTT 🇻🇳",0x89884fc95abcb82736d768fc8ad4fdf4cb2112496974ae05440d835d0e93216643ae212b365fb6d9d2501d76d0925ef3,0xDcF18931D46059501F308b2bECacc76507D9e21d
"Validation Cloud",0x89c7f0d4cbace56294b624f6fa1b27beaa5afc9dab7072383c5f63f636e9f78f9e868a82e6684a72068199461f1f1c15,0xe83b02d5ca835727a8aF5B417b2A161A1e0abEc5
"KysenPool",0x8bca787da4be8b093c0e8bb9e62311ee61459140cd616aad48dbcab233a163da85994869983e74658fa53af595432df4,0x0dd2b4a99905D971da8DdbdCf486DAf7Ab4beE1c
"A41",0xabfb6d9eb0785e57b43ecffddd5d906375dd627e7338137a77c02788ed6d569b1a098ff2c2499a740e382930b39bce48,0x284edBba0997383713039caCC6713CBFA4fa70B6
"Kudasai",0x8d0a94a5a2bb0289ebb24e73233f5ae6508d635022d8a12c69fce99791783bd76ab3fd33b6304a5fe42b85201db12f18,0xc2e5960EDa1E8D801b19e96D886B946Dfb4bE709
"[NODERS]",0x8db0c2f3475fbe90310e7b2ed608546dae7aa5d0fe7f3d2775c2e18ab0e87368bc8c670de021f7740f2f82e6d54a8131,0x917610f4B877EDE8AEDB7506d4fE83D61C6c4513
"StakeTab",0xb255e317f7e6415eab053180c8e36b5f6312c1e6ee1e884a26c490aa4121595574656ed89c83e0d6afd5e2b33c00b101,0xB79FcfB153Be906bFA668e96a31e921aCceC7ecE
"Figment",0xb2faa51f9cf1a8c818459034941d965445bda15b212661f74f09394f2febe40c1f8feeba0cedcafd4ad28a944afb2b2c,0x2E82f99bb47359d98097AeB1A0E3fBA0187EF888
"RHINO 🦏",0x93012bdcf6baa87c1737df03c5fac7c8bb447282fbca5d2de42726ec67f237d66a2f867853e32ebd295010f075f22e95,0x2Bb47e75627B3A4479F36B35c17FD1eD21DeF3f5
"MantiCore",0xb40cc8701d344c41054a3d028bb5f5f0702f7c228b22bdc9081541808c101808d3db2c130d64359efdd7589365b8f05b,0xacb0E88f7497BFc5FE2d139008792D9BA81A0f6e
"Enigma",0xb577aa07f35ba1651b266f7f316ed1cd10907d0064e01dbcb502ec8c39bc1fc01acde07f4755ad0d414832fa2e2b5629,0x74704a0AD66f8f0A874C90Bb25435AE4e713abF1
"Luganodes",0x960052c5509caa280218f3ecf3da7ba5bf4ec20b97e6c52700dd93515ef4e963813aa92a8731c9e137b1027dbc77102f,0x46eBDbcddC18AaBf53deeb1604B3BE95Aa3df449
"Brightlystake",0x964dd0632d0ed772dd0b5a269e9809be5b742df0ad4463552c7b51beef6baf6021360db60b0428ff1c4c38661c02b283,0xfDAE5D408479049eeF8dABB7899968e048Dd6679
"Blockscape",0x98b7240b6aa60283ef2733840dc0996b1a16b68b38f9cbd83e5b7dda516d47b8279449f14c5b6a3d2bd8e74816ce2cae,0x0648E7368010DEe4331A7800CE7fE5Ea5CB7C100
"Quantnode",0x98beef4053d097aa1527a70301021a363fd3b92754a446932f5c97e7daa9c8d0bcf2ed315e7a55775a8bbe5ebe134ffb,0xaFcFc9c62ec35C36FF6E68c758B8A4522825Bf2e
"wallahi",0x83d0f90cdedaac1450c8dc08cfa644ae02f5918572041c2fca7df8b55336682cb5edbccadd6e77129de425844e147d02,0x1dAA6d6B90E2375D4262cDE3c5553bc31688a969
"BitGo",0xa47aa6bd157dfa6ab6f411384a662c3d4d4f8745217ea8198470d6f3135bd71958fd824256fdbf16b21494ec3080b7ee,0xE62358D66277dfc5984166157Bc974e13DeC614a
"ContributionDAO",0xa9504e88e6e969bd31a194c7c81df0e44b4644d0db81ad712d55023c5c6e1ac656558f27c8f8bac65c1fe72c597e6578,0x1Db944ac153a3ca89092768e5BBc3397bD288a33
"BicroStrategy",0x83fd53710b75c2115bd0aac128b739eb9fa9e262603dacdf834030abb1bf4c8a6c00bb72b314c123d77f4ff40cd4d49a,0x4595D079A06a9628F8384D7f568A29Cc95a14F1e
