Proposer,Proposed_Blocks,Avg_Txs_Block,Avg_Gas_Percent,Empty_Blocks,Empty_Block_Percent,BlockRewardProcessed_Events
76D5AF272836142878B608C2125DCE729190EF5F,2055,0.33,0.46,1644,80.00,16
86EE5B6346695B6F960CCE12E40F38279F6B06A3,1220,0.61,0.81,946,77.54,72
B31CC233FF4942827B2995AB025D4D49E5C6DA1D,204,1.1,2.13,115,56.37,55
C52C7CDD8E64EF9581473E2AE286A96FB6A444A9,115,1.31,1.66,79,68.70,20
2FBB6C9798950CDE7647CB68602498874336999F,51,1.57,3.72,10,19.61,34
FDCD7DBB810E66664F7ACA241E05834DDB79A5E0,52,1.9,4.51,10,19.23,41
19D48D2EBF5A4D5C31228C47828BDF6BFDD7B77A,50,2.14,5.29,4,8.00,37
EFB1A37176B9D0252B10D7F56851E68CF096B5CA,150,2.16,5.34,30,20.00,134
4F5F37B9DB46C29C48C0B2231BEAD3E14F04CD1A,52,2.23,5.5,5,9.62,44
F1D993F20EFE45757E62F9AEB6BB14B15DBF2AE2,52,2.33,3.93,17,32.69,27
8F7E52CBD156EDD9317042F67AE7ABD1D64C9E19,111,2.48,5.01,21,18.92,84
DD20845E62583B038100A652D5AA8611D9D4026E,2057,2.49,5.27,440,21.39,1651
C9D2DCB223D4353076E6A0E7E82DD99E42980CCA,52,2.62,6.77,4,7.69,43
4C79631C9E3BACA9D266C8FB3AD6A5304431D055,103,2.78,5.66,7,6.80,81
06BC43DC34E9F52CFBBDAD93F9FA743BF5278E7F,103,2.84,6.24,6,5.83,78
6D4649CD64A83E777CE89E0B268654E56DAC1F96,162,2.85,4.53,35,21.60,93
19395121376B12A00F8C6AD5FE8C3AD9A77CBFC1,51,2.88,6.27,1,1.96,45
09C4AB26B20EF50B371EAF4CB006D6D5B72A53B9,2058,2.9,5.97,531,25.80,1857
64703E2FCEA0339EDE427510BE1642F4E53FC4D0,52,3.0,6.3,1,1.92,49
41462F6C19492B6FF4F5FAF7D6ED16E1264D1AAE,51,3.06,5.59,1,1.96,43
90106A700F58A4BF7EBE5C083BDBBAF8A8761E5B,135,3.09,6.44,17,12.59,123
D94347C994432FFC131B1FA33A61159E5FAB7D5F,121,3.12,6.82,1,0.83,121
8B7419E9E076797E9F1C2160218DEE06B8B4478D,1837,3.24,6.74,102,5.55,1767
3AECCB026FAEA18F43E79FE116CB1B94E768075C,51,3.24,6.7,1,1.96,46
1ED255BA54A031E4ACE64B4AC9B0CD999AF1AB71,113,3.25,7.53,8,7.08,99
0E1982A8083CF41A0B0CDF3CC1A42F5540FC211A,84,3.3,5.58,5,5.95,73
E37FB6E5CFCB23F8AA412A79D793C6A04F54747D,415,3.41,6.84,22,5.30,385
