Validator Name,Validator Address,Operator Address,2025-06-22 VP,2025-06-22 Boost,2025-06-22 Boost/Stake,2025-06-23 VP,2025-06-23 Boost,2025-06-23 Boost/Stake,2025-06-24 VP,2025-06-24 Boost,2025-06-24 Boost/Stake
BicroStrategy,5951C4349AB792BFB3A63956512663CC3B733D6E,0x4595d079a06a9628f8384d7f568a29cc95a14f1e,10000000.00,388986.58,0.0389,10000000.00,501299.10,0.0501,10000000.00,451076.02,0.0451
wallahi,9DB42D740B0D0C6A08543D679BF50CED94CA8E3C,0x1daa6d6b90e2375d4262cde3c5553bc31688a969,10000000.00,399970.62,0.0400,10000000.00,493931.43,0.0494,10000000.00,450268.77,0.0450
UFN,6B3D9D5DFE82E0BF52D6045DF17F16560A027717,0xb5335225a53e1575c3f9c3e45f616e7899590e72,5000000.00,213844.13,0.0428,5000000.00,95078.17,0.0190,5000000.00,214867.98,0.0430
Kudasai,B29EA710A83B6D518A5566AC8AB90C2979CACC16,0xc2e5960eda1e8d801b19e96d886b946dfb4be709,750000.00,81687.26,0.1089,750000.00,103829.29,0.1384,750000.00,60563.28,0.0808
A41,EFB1A37176B9D0252B10D7F56851E68CF096B5CA,0x284edbba0997383713039cacc6713cbfa4fa70b6,750000.00,46763.25,0.0624,750000.00,37157.30,0.0495,750000.00,23587.65,0.0315
BGTScan,06BC43DC34E9F52CFBBDAD93F9FA743BF5278E7F,0x3e8c50054c1854495f5873fcba10c6ea91d5085a,500000.00,32349.55,0.0647,500000.00,29797.18,0.0596,500000.00,44190.47,0.0884
The Empty Jar,1ED255BA54A031E4ACE64B4AC9B0CD999AF1AB71,0xd2c35c5ef5e989811723f160ed396f10e0696d66,550000.00,10233.10,0.0186,550000.00,10279.11,0.0187,550000.00,10344.65,0.0188
StakeLab,2C1B7662D046B2FCAF685C804037D3FC728E9E80,0x6aa0757bc4ffdc9f0deb5e9fa08173c07ef2afcc,500000.00,13448.92,0.0269,500000.00,37078.50,0.0742,500000.00,14356.83,0.0287
Luganodes,4C79631C9E3BACA9D266C8FB3AD6A5304431D055,0x46ebdbcddc18aabf53deeb1604b3be95aa3df449,500000.00,15331.34,0.0307,500000.00,43816.88,0.0876,500000.00,32048.81,0.0641
ChorusOne,616EABCEC6FB0DB1AC54C5461D952BFB46B45819,0xf2048c29ef806ed003dee1ae703f00ef7340ac84,1160000.00,165546.14,0.1427,1160000.00,185826.26,0.1602,1160000.00,178144.39,0.1536
Asymmetric Research,6DE14F6BCFECCE0F3F86936B6DB580258E542047,0x3e4abd8d931ab73f14cdeead41ccd4b82217593c,500000.00,16331.62,0.0327,500000.00,11441.21,0.0229,500000.00,11449.50,0.0229
Stakecito,8F7E52CBD156EDD9317042F67AE7ABD1D64C9E19,0xa38092223392bb225d0d81bab2527dadf02affde,540000.00,57302.66,0.1061,540000.00,51384.48,0.0952,540000.00,51428.31,0.0952
TTT 🇻🇳,B08ADE9A00DFC0A0EACB84BF579B6B6C0C32A645,0xdcf18931d46059501f308b2becacc76507d9e21d,500000.00,27066.14,0.0541,500000.00,43935.83,0.0879,500000.00,27228.79,0.0545
DeSpread,C52C7CDD8E64EF9581473E2AE286A96FB6A444A9,0x054aacf7ea50c873e4a43582e25c48ab028274ff,560000.00,54960.46,0.0981,560000.00,45948.55,0.0821,560000.00,66948.61,0.1196
P-OPS Team,0634E825DCD51BF722CCF02086899CDE1E862E5A,0xa7ac3755c744e853c951c351850a0987148bdaed,250000.00,33479.02,0.1339,250000.00,18509.56,0.0740,250000.00,22677.03,0.0907
1XP,0E1982A8083CF41A0B0CDF3CC1A42F5540FC211A,0xfd407bfe9004692e66e91d0067f06829e98285e1,410000.00,12628.66,0.0308,410000.00,33551.83,0.0818,410000.00,26628.99,0.0649
BitGo,19395121376B12A00F8C6AD5FE8C3AD9A77CBFC1,0xe62358d66277dfc5984166157bc974e13dec614a,250000.00,2.37,0.0000,250000.00,2.37,0.0000,250000.00,2.37,0.0000
Enigma,19D48D2EBF5A4D5C31228C47828BDF6BFDD7B77A,0x74704a0ad66f8f0a874c90bb25435ae4e713abf1,250000.00,24578.15,0.0983,250000.00,654.19,0.0026,250000.00,17619.57,0.0705
L0vd,1D4DCFB35BE65B5E09C4270F0B4E3329F967B4E2,0x509b8fb5e3964d3c71802fa6eb4dee4fecceadd1,250000.00,26616.82,0.1065,250000.00,35635.63,0.1425,250000.00,12654.40,0.0506
GhostGraph,2FBB6C9798950CDE7647CB68602498874336999F,0xc8ef7accf806cc6857cac2262fc3aec3832645c2,250000.00,35810.64,0.1432,250000.00,29859.29,0.1194,250000.00,32166.05,0.1287
Validation Cloud,39CCAF0EB8D31A9592ABA51B6705ABBBFC38086C,0xe83b02d5ca835727a8af5b417b2a161a1e0abec5,250000.00,18125.51,0.0725,250000.00,18156.53,0.0726,250000.00,18157.16,0.0726
CoinSummer,3AECCB026FAEA18F43E79FE116CB1B94E768075C,0x189a95fa7c0316ee7d21ac76e9e93452d7b40046,250000.00,17288.31,0.0692,250000.00,16347.06,0.0654,250000.00,23306.69,0.0932
Coinage x DAIC,41462F6C19492B6FF4F5FAF7D6ED16E1264D1AAE,0xacc73a3c87b28331bb99ada08b10b8def4a41347,250000.00,16098.21,0.0644,250000.00,16129.23,0.0645,250000.00,16129.86,0.0645
Figment,45C2BA0FF19BCB262FA5713E993FBA4408258BC1,0x2e82f99bb47359d98097aeb1a0e3fba0187ef888,250000.00,1.73,0.0000,250000.00,1.73,0.0000,250000.00,1.73,0.0000
[NODERS],4D21CFCB799E0C9B66CE566F6AB68BCCCBC75FDA,0x917610f4b877ede8aedb7506d4fe83d61c6c4513,250000.00,6083.62,0.0243,250000.00,6981.90,0.0279,250000.00,5981.90,0.0239
MantiCore,4F5F37B9DB46C29C48C0B2231BEAD3E14F04CD1A,0xacb0e88f7497bfc5fe2d139008792d9ba81a0f6e,250000.00,8257.11,0.0330,250000.00,6428.80,0.0257,250000.00,11973.32,0.0479
Simply Staking,64703E2FCEA0339EDE427510BE1642F4E53FC4D0,0x03daa833f0994d877a52d3841975c685d131ec7c,250000.00,13512.88,0.0541,250000.00,12139.04,0.0486,250000.00,4661.76,0.0186
RHINO 🦏,65697A8BAA1891DC3D466DFEDBE51EAC264936B7,0x2bb47e75627b3a4479f36b35c17fd1ed21def3f5,250000.00,16390.45,0.0656,250000.00,16421.46,0.0657,250000.00,16422.09,0.0657
NodesGuru,7299ADB3E975B1A7B461F45C4CCA6AFA39DBC9A7,0x42596de5946d620168300cd61b09dced422caef7,250000.00,17367.32,0.0695,250000.00,15460.82,0.0618,250000.00,19398.97,0.0776
ContributionDAO,8A93B739376EBA41191E593847B1C844E66F29CA,0x1db944ac153a3ca89092768e5bbc3397bd288a33,250000.00,10284.61,0.0411,250000.00,112150.28,0.4486,250000.00,10500.62,0.0420
Kodiak,901FB60F9AF7935456867CFC8355B70FA226A069,0x08836aabe6b7109a8660f146cc196db8638df938,3600000.00,247524.74,0.0688,3600000.00,285990.07,0.0794,3600000.00,327767.09,0.0910
Quantnode,A49685C59E968B2B097B0CB09E8D08D6B7FCD69E,0xafcfc9c62ec35c36ff6e68c758b8a4522825bf2e,250000.00,5630.75,0.0225,250000.00,14743.03,0.0590,250000.00,13804.38,0.0552
StakeUs,C9D2DCB223D4353076E6A0E7E82DD99E42980CCA,0xc047c59b4f8b5ad1ce755b3b36e6e5cba9b3d781,250000.00,19302.02,0.0772,250000.00,984.08,0.0039,250000.00,13957.10,0.0558
Brightlystake,CCB476A8C39D26D81428AB9FBD848F9B17E1BCE0,0xfdae5d408479049eef8dabb7899968e048dd6679,250000.00,11304.04,0.0452,250000.00,5414.07,0.0217,250000.00,5304.04,0.0212
