Validator name,Pubkey,Proposer,Operator,Stake,Uptime Score,POL Score,Total Score
Kudasai,8d0a94a5a2bb0289ebb24e73233f5ae6508d635022d8a12c69fce99791783bd76ab3fd33b6304a5fe42b85201db12f18,B29EA710A83B6D518A5566AC8AB90C2979CACC16,0xc2e5960eda1e8d801b19e96d886b946dfb4be709,750000.000000,99.90,87.96,95.92
ChorusOne,ab98ea73f3afab04154829f8d12a537cbf31a8b08f7f8e3870f4902001f0011234ed8f9218b40b4ed732d11d889f609d,616EABCEC6FB0DB1AC54C5461D952BFB46B45819,0xf2048c29ef806ed003dee1ae703f00ef7340ac84,1160000.000000,99.99,74.89,91.62
Luganodes,960052c5509caa280218f3ecf3da7ba5bf4ec20b97e6c52700dd93515ef4e963813aa92a8731c9e137b1027dbc77102f,4C79631C9E3BACA9D266C8FB3AD6A5304431D055,0x46ebdbcddc18aabf53deeb1604b3be95aa3df449,500000.000000,100.00,68.80,89.60
Stakecito,a247c21f73c3327f31f8ee0dbb40110ef0a830af89b83986dddf92d1bd1a68b88f9050bc6a0f1405cb75fbb457e3e83b,8F7E52CBD156EDD9317042F67AE7ABD1D64C9E19,0xa38092223392bb225d0d81bab2527dadf02affde,540000.000000,99.98,68.58,89.51
DeSpread,865a04fc3fb234b69595fc464b00604e8e1f387d47dc6bca2d1503a82d2e20060334ef275c764136f13b87447bd3d0a8,C52C7CDD8E64EF9581473E2AE286A96FB6A444A9,0x054aacf7ea50c873e4a43582e25c48ab028274ff,560000.000000,99.33,67.34,88.66
Kodiak,8e3b35bd379652019fe8f341c5c854a60f55772016340781e8d3577e2b24e1ac0d5786d45459cd756810281eff8f729c,901FB60F9AF7935456867CFC8355B70FA226A069,0x08836aabe6b7109a8660f146cc196db8638df938,3600000.000000,100.00,65.88,88.63
P-OPS Team,89233d54cc54e67cbab9493af37bcbedaa9def92c14637694bf88f675b2ccd0a6c98a8dde009d6d80f515f11a8845517,0634E825DCD51BF722CCF02086899CDE1E862E5A,0xa7ac3755c744e853c951c351850a0987148bdaed,250000.000000,100.00,53.99,84.66
StakeLab,98111a6ee569f1be005551d8c76e042aabcb5bf4c491d177445a2b5fb30dedc7bf6db39e387831c6739bde4129c6ada5,2C1B7662D046B2FCAF685C804037D3FC728E9E80,0x6aa0757bc4ffdc9f0deb5e9fa08173c07ef2afcc,500000.000000,100.00,52.62,84.21
ContributionDAO,a9504e88e6e969bd31a194c7c81df0e44b4644d0db81ad712d55023c5c6e1ac656558f27c8f8bac65c1fe72c597e6578,8A93B739376EBA41191E593847B1C844E66F29CA,0x1db944ac153a3ca89092768e5bbc3397bd288a33,250000.000000,100.00,46.53,82.18
L0vd,a3539ca28e0fd74d2a3c4c552740be77d6914cad2d8ec16583492cc57e8cfa358c62e31cc9106b1700cc169962855a6f,1D4DCFB35BE65B5E09C4270F0B4E3329F967B4E2,0x509b8fb5e3964d3c71802fa6eb4dee4fecceadd1,250000.000000,100.00,43.80,81.27
The Empty Jar,b77084d2b92baa3e01ec5ce57fbd529d3c8e60941c637bdc7c85d9ca2cc56545c3cbea86879dcbe9402f8a55d0284e7b,1ED255BA54A031E4ACE64B4AC9B0CD999AF1AB71,0xd2c35c5ef5e989811723f160ed396f10e0696d66,550000.000000,99.67,41.12,80.16
Blockscape,98b7240b6aa60283ef2733840dc0996b1a16b68b38f9cbd83e5b7dda516d47b8279449f14c5b6a3d2bd8e74816ce2cae,F314C84E265C6CF2D834F0CAAD99900CF6857FB2,0x0648e7368010dee4331a7800ce7fe5ea5cb7c100,250000.000000,100.00,39.45,79.82
CoinSummer,a7f3186065f3f18a4b21b661f40941b942dad39062d9df399d94a18870e0600f1ccab51ee71ca5d6f971b79c2e51d6de,3AECCB026FAEA18F43E79FE116CB1B94E768075C,0x189a95fa7c0316ee7d21ac76e9e93452d7b40046,250000.000000,99.49,36.41,78.46
TTT 🇻🇳,89884fc95abcb82736d768fc8ad4fdf4cb2112496974ae05440d835d0e93216643ae212b365fb6d9d2501d76d0925ef3,B08ADE9A00DFC0A0EACB84BF579B6B6C0C32A645,0xdcf18931d46059501f308b2becacc76507d9e21d,500000.000000,94.66,44.17,77.83
MantiCore,b40cc8701d344c41054a3d028bb5f5f0702f7c228b22bdc9081541808c101808d3db2c130d64359efdd7589365b8f05b,4F5F37B9DB46C29C48C0B2231BEAD3E14F04CD1A,0xacb0e88f7497bfc5fe2d139008792d9ba81a0f6e,250000.000000,99.87,33.08,77.61
BGTScan,832153bf3e09b9cab14414425a0ebaeb889e21d20872ebb990ed9a6102d7dc7f3017d4689f931a8e96d918bdeb184e1b,06BC43DC34E9F52CFBBDAD93F9FA743BF5278E7F,0x3e8c50054c1854495f5873fcba10c6ea91d5085a,500000.000000,99.87,31.00,76.91
Validation Cloud,89c7f0d4cbace56294b624f6fa1b27beaa5afc9dab7072383c5f63f636e9f78f9e868a82e6684a72068199461f1f1c15,39CCAF0EB8D31A9592ABA51B6705ABBBFC38086C,0xe83b02d5ca835727a8af5b417b2a161a1e0abec5,250000.000000,100.00,27.93,75.98
